model_label,metric,n_tasks,mean_diff,sd_diff,t_p,wilcox_p
gpt-4o,fluency_count,10,-0.7499999999999997,0.8286907716764607,0.018719423349875648,0.04068490878074476
gpt-4o,tokens_out,10,240.71666666666667,52.90277887167816,1.618078879751718e-7,0.001953125
gpt-4o,judge_fluency,10,-0.03333333333333335,0.10540925533894605,0.34343639613791366,1
gpt-4o,judge_originality,10,0.43333333333333335,0.3865006029094685,0.006260334337213198,0.021067886715212834
gpt-4o,judge_flexibility,10,0.033333333333333354,0.10540925533894603,0.3434363961379133,1
gpt-4o,judge_elaboration,10,0.6,0.3063121944908938,1.5997142806871396e-4,0.007857389588994762
gpt-4o,semantic_diversity,10,0.0180943970725879,0.053483530724695416,0.31253749792984137,0.431640625
gpt-5,fluency_count,10,-0.016666666666666764,0.7389097741409218,0.9446969372243224,0.9523030898373113
gpt-5,tokens_out,10,2013.5833333333333,587.1500757214916,1.8147258589187253e-6,0.001953125
gpt-5,judge_fluency,10,-0.0666666666666666,0.27442420078285484,0.4620360046310473,0.7103465689955668
gpt-5,judge_originality,10,0.09999999999999995,0.16101529717988255,0.0811261888458405,0.17356816655592155
gpt-5,judge_flexibility,10,0.0333333333333333,0.23306863292670027,0.6617803305191607,0.7127018566581784
gpt-5,judge_elaboration,10,0,0,NA,NA
gpt-5,semantic_diversity,10,0.03517907312604821,0.03351314970525711,0.008947824725047003,0.01953125
opus-4.5,fluency_count,10,-0.7666666666666668,0.8322214804921781,0.017221821969477864,0.01955026909288556
opus-4.5,tokens_out,10,348.33333333333337,41.59237821916325,7.540236336701809e-10,0.001953125
opus-4.5,judge_fluency,10,0.3,0.29186501192363784,0.009990684849755125,0.03201485728313482
opus-4.5,judge_originality,10,0.7666666666666666,0.31622776601683794,3.1047976987198976e-5,0.004820698819057863
opus-4.5,judge_flexibility,10,0.7333333333333334,0.34426518632954817,8.497780806189266e-5,0.007744715088732198
opus-4.5,judge_elaboration,10,0.7333333333333335,0.26293687924887177,1.0072896493570209e-5,0.0052944899464669615
opus-4.5,semantic_diversity,10,0.028586299081075746,0.034207695635640245,0.02679859360027475,0.02734375
sonnet-4.5,fluency_count,10,0.8666666666666665,0.9189365834726817,0.015389410861615473,0.02088973144232035
sonnet-4.5,tokens_out,10,341.66666666666663,41.7233688257892,9.20816026810951e-10,0.001953125
sonnet-4.5,judge_fluency,10,-6.66133814775094e-17,0.2721655269759087,0.9999999999999993,1
sonnet-4.5,judge_originality,10,0.6,0.4388537257362556,0.0019234117228289673,0.019222025736867317
sonnet-4.5,judge_flexibility,10,0.3666666666666667,0.3990729999126216,0.017438860908343328,0.032564536909434866
sonnet-4.5,judge_elaboration,10,0.36666666666666686,0.29186501192363784,0.003241214601379653,0.0199065122489278
sonnet-4.5,semantic_diversity,10,0.0425641271743614,0.03114558685262128,0.0019285793917808494,0.001953125
